Home_Team,Home_Team_Score,Away_Team,Away_Team_Score
 Richmond ,105, Carlton ,80
 Collingwood ,53, Western Bulldogs ,69
 Melbourne ,80, Fremantle ,58
 Adelaide Crows ,103, Geelong Cats ,91
 Essendon ,91, Hawthorn ,92
 Brisbane Lions ,94, Sydney Swans ,125
 North Melbourne ,65, Port Adelaide ,117
 GWS Giants ,78, St Kilda ,86
 West Coast Eagles ,83, Gold Coast Suns ,58
 Carlton ,85, Collingwood ,106
 Geelong Cats ,81, Brisbane Lions ,80
 Sydney Swans ,121, Adelaide Crows ,88
 Port Adelaide ,119, Essendon ,65
 St Kilda ,73, Melbourne ,91
 Gold Coast Suns ,98, North Melbourne ,39
 Hawthorn ,49, Richmond ,78
 Western Bulldogs ,100, West Coast Eagles ,93
 Fremantle ,87, GWS Giants ,56
 Collingwood ,72, Brisbane Lions ,73
 North Melbourne ,39, Western Bulldogs ,167
 Adelaide Crows ,95, Gold Coast Suns ,85
 Richmond ,72, Sydney Swans ,117
 Essendon ,143, St Kilda ,68
 West Coast Eagles ,108, Port Adelaide ,71
 Carlton ,109, Fremantle ,64
 GWS Giants ,68, Melbourne ,102
 Geelong Cats ,69, Hawthorn ,64
 Sydney Swans ,83, Essendon ,80
 Port Adelaide ,79, Richmond ,77
 Western Bulldogs ,73, Brisbane Lions ,54
 St Kilda ,102, West Coast Eagles ,82
 Gold Coast Suns ,59, Carlton ,70
 Collingwood ,60, GWS Giants ,90
 North Melbourne ,68, Adelaide Crows ,109
 Melbourne ,85, Geelong Cats ,60
 Fremantle ,96, Hawthorn ,81
 St Kilda ,48, Richmond ,134
 West Coast Eagles ,103, Collingwood ,76
 Western Bulldogs ,118, Gold Coast Suns ,56
 Sydney Swans ,69, GWS Giants ,71
 Carlton ,68, Port Adelaide ,96
 Brisbane Lions ,102, Essendon ,45
 Adelaide Crows ,72, Fremantle ,84
 Hawthorn ,54, Melbourne ,104
 Geelong Cats ,77, North Melbourne ,47
 GWS Giants ,65, Western Bulldogs ,104
 Geelong Cats ,136, West Coast Eagles ,39
 Gold Coast Suns ,100, Sydney Swans ,60
 Carlton ,85, Brisbane Lions ,103
 Melbourne ,82, Richmond ,48
 Fremantle ,99, North Melbourne ,48
 Hawthorn ,102, Adelaide Crows ,99
 Collingwood ,85, Essendon ,109
 Port Adelaide ,93, St Kilda ,39
 Richmond ,77, Western Bulldogs ,55
 Collingwood ,55, Gold Coast Suns ,79
 Adelaide Crows ,39, GWS Giants ,106
 St Kilda ,128, Hawthorn ,59
 Brisbane Lions ,93, Port Adelaide ,44
 Sydney Swans ,90, Geelong Cats ,88
 North Melbourne ,73, Melbourne ,103
 Essendon ,107, Carlton ,123
 West Coast Eagles ,132, Fremantle ,73
 Richmond ,63, Geelong Cats ,126
 Gold Coast Suns ,54, St Kilda ,63
 GWS Giants ,107, Essendon ,105
 North Melbourne ,76, Collingwood ,94
 Melbourne ,67, Sydney Swans ,58
 Port Adelaide ,87, Adelaide Crows ,38
 Hawthorn ,60, West Coast Eagles ,98
 Western Bulldogs ,107, Carlton ,91
 Brisbane Lions ,95, Fremantle ,71
 St Kilda ,47, Geelong Cats ,68
 Sydney Swans ,72, Collingwood ,42
 Hawthorn ,80, North Melbourne ,87
 Gold Coast Suns ,51, Brisbane Lions ,124
 Richmond ,87, GWS Giants ,83
 Port Adelaide ,77, Western Bulldogs ,96
 Essendon ,68, Fremantle ,61
 Melbourne ,94, Carlton ,68
 West Coast Eagles ,106, Adelaide Crows ,76
 Brisbane Lions ,102, Richmond ,74
 Carlton ,86, Hawthorn ,63
 Geelong Cats ,91, Gold Coast Suns ,57
 Adelaide Crows ,96, Melbourne ,95
 Western Bulldogs ,144, St Kilda ,33
 Fremantle ,86, Sydney Swans ,84
 GWS Giants ,93, West Coast Eagles ,77
 Collingwood ,58, Port Adelaide ,59
 Essendon ,141, North Melbourne ,69
 Western Bulldogs ,59, Melbourne ,87
 Collingwood ,51, Geelong Cats ,61
 Brisbane Lions ,129, GWS Giants ,65
 St Kilda ,88, North Melbourne ,68
 Gold Coast Suns ,113, Hawthorn ,76
 West Coast Eagles ,71, Essendon ,87
 Richmond ,111, Adelaide Crows ,83
 Sydney Swans ,100, Carlton ,78
 Port Adelaide ,115, Fremantle ,69
 Melbourne ,97, Brisbane Lions ,75
 Sydney Swans ,92, St Kilda ,83
 Adelaide Crows ,73, Collingwood ,78
 Essendon ,84, Richmond ,123
 Carlton ,73, West Coast Eagles ,95
 Fremantle ,65, Western Bulldogs ,93
 Port Adelaide ,91, Geelong Cats ,112
 Sydney Swans ,51, Hawthorn ,89
 Fremantle ,76, Gold Coast Suns ,49
 St Kilda ,60, Adelaide Crows ,66
 North Melbourne ,94, GWS Giants ,94
 West Coast Eagles ,85, Richmond ,81
 Melbourne ,63, Collingwood ,80
 Geelong Cats ,83, Western Bulldogs ,78
 Gold Coast Suns ,31, Port Adelaide ,81
 North Melbourne ,45, Brisbane Lions ,68
 GWS Giants ,102, Carlton ,66
 Hawthorn ,73, Essendon ,86
